algo,n,nanos,comparisons,moves,allocations,maxDepth
ClosestPair,10000,10453208,45928,0,2315720,12
ClosestPair,10000,6194291,45678,0,2311496,12
ClosestPair,10000,5774500,45326,0,2310480,12
ClosestPair,10000,6557167,45285,0,2311064,12
ClosestPair,10000,6819375,45600,0,2312376,12
ClosestPair,10000,6696750,45109,0,2311632,12
ClosestPair,10000,8773750,45377,0,2312056,12
ClosestPair,10000,6602375,45155,0,2311552,12
ClosestPair,10000,6920791,46051,0,2315624,12
ClosestPair,10000,7321125,45870,0,2313480,12
